Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"24 AWG Flexible Silicone Wire - 3 Meters","Multi-strand flexible wiring for internal connections between the ESP32-C3, TFT display, and mechanical switches.",1,3.00,"https://es.aliexpress.com/item/1005009017260144.html","Aliexpress"
"Outemu Mechanical Switches (10 PCS Pack)","Mechanical tactile switches for music controls (Play/Pause, Next, Previous). Chosen for their durability and standard plate-mount compatibility.",1,4.00,"https://es.aliexpress.com/item/1005006396423418.html","Aliexpress"
"1.8 inch TFT LCD Display Module ST7735 SPI","To display the song title, artist name, and connection status in real-time.",1,6.00,"https://es.aliexpress.com/item/1005010626780549.html","Aliexpress"
"ESP32-C3 SuperMini Development Board","Main microcontroller with built-in Wi-Fi used to fetch real-time music data from the Spotify API and control the TFT display.",1,1.60,"https://es.aliexpress.com/item/1005007446721319.html","Aliexpress"
